Time (s),White Line Pos,User Input,Actual Position,Margin of Error
7.87481,WLP,INPUT,0,Margin of Error
7.895786,WLP,INPUT,0,Margin of Error
7.915809,WLP,INPUT,0,Margin of Error
7.935287,WLP,INPUT,0,Margin of Error
7.955478,WLP,INPUT,0,Margin of Error
7.972836,WLP,INPUT,0,Margin of Error
7.983717,WLP,INPUT,0,Margin of Error
8.014781,WLP,INPUT,0,Margin of Error
8.034892,WLP,INPUT,0,Margin of Error
8.055847,WLP,INPUT,0,Margin of Error
8.074832,WLP,INPUT,0,Margin of Error
8.094793,WLP,INPUT,0,Margin of Error
8.115272,WLP,INPUT,0,Margin of Error
8.134785,WLP,INPUT,0,Margin of Error
8.155352,WLP,INPUT,0,Margin of Error
8.175402,WLP,INPUT,0,Margin of Error
8.195322,WLP,INPUT,0,Margin of Error
8.214808,WLP,INPUT,0,Margin of Error
8.233814,WLP,INPUT,0,Margin of Error
8.255829,WLP,INPUT,0,Margin of Error
8.274787,WLP,INPUT,0,Margin of Error
8.295449,WLP,INPUT,0,Margin of Error
8.313626,WLP,INPUT,0,Margin of Error
8.334533,WLP,INPUT,0,Margin of Error
8.35526,WLP,INPUT,0,Margin of Error
8.375344,WLP,INPUT,0,Margin of Error
8.394297,WLP,INPUT,0,Margin of Error
8.413663,WLP,INPUT,0,Margin of Error
8.433455,WLP,INPUT,0,Margin of Error
8.455142,WLP,INPUT,0,Margin of Error
8.475324,WLP,INPUT,0,Margin of Error
8.494487,WLP,INPUT,0,Margin of Error
8.515263,WLP,INPUT,0,Margin of Error
8.53551,WLP,INPUT,0,Margin of Error
8.555399,WLP,INPUT,0,Margin of Error
8.574327,WLP,INPUT,0,Margin of Error
8.594475,WLP,INPUT,0,Margin of Error
8.615529,WLP,INPUT,0,Margin of Error
8.634203,WLP,INPUT,0,Margin of Error
8.655784,WLP,INPUT,0,Margin of Error
8.675756,WLP,INPUT,0,Margin of Error
8.695642,WLP,INPUT,0,Margin of Error
8.715243,WLP,INPUT,0,Margin of Error
8.734682,WLP,INPUT,0,Margin of Error
8.75335,WLP,INPUT,0,Margin of Error
8.775699,WLP,INPUT,0,Margin of Error
8.794782,WLP,INPUT,0,Margin of Error
8.809315,WLP,INPUT,0,Margin of Error
8.834196,WLP,INPUT,0,Margin of Error
8.85435,WLP,INPUT,0,Margin of Error
8.875401,WLP,INPUT,0,Margin of Error
8.895355,WLP,INPUT,0,Margin of Error
8.913871,WLP,INPUT,0,Margin of Error
8.935326,WLP,INPUT,0,Margin of Error
8.950646,WLP,INPUT,0,Margin of Error
8.975806,WLP,INPUT,0,Margin of Error
8.986914,WLP,INPUT,0,Margin of Error
9.013716,WLP,INPUT,0,Margin of Error
9.035799,WLP,INPUT,0,Margin of Error
9.053206,WLP,INPUT,0,Margin of Error
9.073502,WLP,INPUT,0,Margin of Error
9.093973,WLP,INPUT,0,Margin of Error
9.11356,WLP,INPUT,0,Margin of Error
9.134326,WLP,INPUT,0,Margin of Error
9.155319,WLP,INPUT,0,Margin of Error
9.175792,WLP,INPUT,0,Margin of Error
9.19488,WLP,INPUT,0,Margin of Error
9.214641,WLP,INPUT,0,Margin of Error
9.235644,WLP,INPUT,0,Margin of Error
9.255623,WLP,INPUT,0,Margin of Error
9.27549,WLP,INPUT,0,Margin of Error
9.29406,WLP,INPUT,0,Margin of Error
9.315787,WLP,INPUT,0,Margin of Error
9.335827,WLP,INPUT,0,Margin of Error
9.353994,WLP,INPUT,0,Margin of Error
9.374364,WLP,INPUT,0,Margin of Error
9.389334,WLP,INPUT,0,Margin of Error
9.41431,WLP,INPUT,0,Margin of Error
9.434832,WLP,INPUT,0,Margin of Error
