Time (s),White Line Pos,User Input,Actual Position,Margin of Error,Coins Collected
5.642881,0.0725,4,0.01454667,179.9356,N/A
5.662414,0.0725,4,0.01454667,179.9356,N/A
5.683001,0.0725,4,0.01454667,179.9356,N/A
5.702858,0.07250001,4,0.01454667,179.9356,N/A
5.723536,0.07250001,4,0.01454667,179.9356,N/A
5.743324,0.07250001,.4,0.01,186.2069,N/A
5.763334,0.07250001,.4,0.01,186.2069,N/A
5.781836,0.07250001,.4,0.01,186.2069,N/A
5.803322,0.07250001,.4,0.01,186.2069,N/A
5.822237,0.07250001,.4,0.01,186.2069,N/A
5.843383,0.07250001,.4,0.01,186.2069,N/A
5.862982,0.07250001,.4,0.01,186.2069,N/A
5.883321,0.07250001,.4,0.01,186.2069,N/A
5.902856,0.07250001,.4,0.01,186.2069,N/A
5.923319,0.07250001,.4,0.01,186.2069,N/A
5.943159,0.07250001,.4,0.01,186.2069,N/A
5.963339,0.07250001,.4,0.01,186.2069,N/A
5.982166,0.07250001,.4,0.01,186.2069,N/A
6.002258,0.07250001,.4,0.01,186.2069,N/A
6.022241,0.07250001,,0.01,186.2069,N/A
6.042204,0.07250001,,0.01,186.2069,N/A
6.063191,0.07250001,,0.01,186.2069,N/A
6.082679,0.07250001,,0.01,186.2069,N/A
6.102746,0.07250001,4,0.01,186.2069,N/A
6.123358,0.07250001,4,0.01,186.2069,N/A
6.143202,0.07250001,4,0.01,186.2069,N/A
6.162797,0.07250001,4,0.01,186.2069,N/A
6.183196,0.07250001,4,0.01,186.2069,N/A
6.202931,0.07250001,.4,0.01,186.2069,N/A
6.223233,0.07250001,.4,0.01,186.2069,N/A
6.243226,0.07250001,.4,0.01,186.2069,N/A
6.262216,0.07250001,.4,0.01,186.2069,N/A
6.283355,0.07250001,.4,0.01,186.2069,N/A
6.302733,0.07250001,.4,0.01,186.2069,N/A
6.322842,0.07250001,.4,0.01,186.2069,N/A
6.341774,0.07250001,.4,0.01,186.2069,N/A
6.362733,0.07250001,.4,0.01,186.2069,N/A
6.382239,0.07250001,.4,0.01,186.2069,N/A
6.402503,0.07250001,.4,0.01,186.2069,N/A
6.422426,0.07250001,.4,0.01,186.2069,N/A
6.443262,0.07250001,.4,0.01,186.2069,N/A
6.46304,0.07250001,,0.01,186.2069,N/A
6.482415,0.07250001,,0.01,186.2069,N/A
6.502777,0.07250001,,0.01,186.2069,N/A
6.522804,0.07250001,,0.01,186.2069,N/A
6.543259,0.03293013,,0.01,169.6327,N/A
6.563296,0.03,4,0.01,166.6667,N/A
6.583279,0.03,4,0.01,166.6667,N/A
6.602838,0.03,4,0.01,166.6667,N/A
6.622303,0.03,4,0.01,166.6667,N/A
6.642303,0.03,.4,0.01,166.6667,N/A
6.66329,0.03,.4,0.01,166.6667,N/A
6.683308,0.03,.4,0.01,166.6667,N/A
6.70331,0.03,.4,0.01,166.6667,N/A
6.72231,0.03,.4,0.01,166.6667,N/A
6.743449,0.03,.4,0.01,166.6667,N/A
6.762328,0.03,.4,0.01,166.6667,N/A
6.783327,0.03,.4,0.01,166.6667,N/A
6.802365,0.03,.4,0.01,166.6667,N/A
6.823336,0.03,.4,0.01,166.6667,N/A
6.843461,0.03,.4,0.01,166.6667,N/A
6.861839,0.03,.4,0.01,166.6667,N/A
6.882578,0.03,.4,0.01,166.6667,N/A
